date,btc_google_trends,btc_twitter_sentiment
2017-03-05,6,0.0
2017-03-12,5,0.0
2017-03-19,5,0.0
2017-03-26,5,0.4019
2017-04-02,5,-0.0029
2017-04-09,4,0.4019
2017-04-16,4,0.0
2017-04-23,5,0.4019
2017-04-30,7,-0.128
2017-05-07,9,-0.11926666666666665
2017-05-14,11,-0.11926666666666665
2017-05-21,19,0.0
2017-05-28,12,0.0
2017-06-04,12,0.0
2017-06-11,13,0.2023
2017-06-18,10,0.0
2017-06-25,11,0.0
2017-07-02,9,0.0
2017-07-09,10,0.5574
2017-07-16,11,0.1909
2017-07-23,10,0.0
2017-07-30,15,0.0
2017-08-06,14,0.5423
2017-08-13,20,0.1457
2017-08-20,15,-0.296
2017-08-27,16,0.0772
2017-09-03,18,0.0
2017-09-10,20,-0.6908
2017-09-17,15,-0.27753333333333335
2017-09-24,13,0.09540000000000001
2017-10-01,12,0.0
2017-10-08,18,-0.1366
2017-10-15,19,0.4019
2017-10-22,20,0.3597
2017-10-29,26,0.0
2017-11-05,28,0.11315
2017-11-12,31,-0.2553
2017-11-19,27,0.0258
2017-11-26,61,0.10115
2017-12-03,86,0.0258
2017-12-10,85,-0.043733333333333325
2017-12-17,100,0.2776333333333334
2017-12-24,62,0.06532
2017-12-31,46,0.16387999999999997
2018-01-07,44,0.27562
2018-01-14,54,-0.2287
2018-01-21,36,-0.1476
2018-01-28,39,-0.5831999999999999
2018-02-04,47,0.2422
2018-02-11,26,0.14346666666666666
2018-02-18,23,0.09722
2018-02-25,19,0.20110000000000003
2018-03-04,19,0.6626000000000001
2018-03-11,19,0.052000000000000046
2018-03-18,18,0.532
2018-03-25,17,0.4158
2018-04-01,17,0.177975
2018-04-08,15,-0.4939
2018-04-15,14,-0.2765666666666667
2018-04-22,14,-0.11434999999999998
2018-04-29,12,0.3182
2018-05-06,12,0.1788777777777778
2018-05-13,11,0.345
2018-05-20,11,0.013533333333333323
2018-05-27,10,0.8279000000000001
2018-06-03,9,-0.3612
2018-06-10,12,-0.13884999999999997
2018-06-17,10,-0.1868
2018-06-24,10,-0.1688
2018-07-01,9,-0.17045000000000002
2018-07-08,9,0.23039999999999997
2018-07-15,11,0.08825000000000001
2018-07-22,12,0.1471
2018-07-29,10,0.192925
2018-08-05,11,0.7424
2018-08-12,10,0.24516666666666664
2018-08-19,10,0.0759
2018-08-26,10,-0.23405
2018-09-02,11,0.3472
2018-09-09,9,-0.44106153846153845
2018-09-16,8,0.2732
2018-09-23,8,0.10439999999999999
2018-09-30,8,0.46060000000000006
2018-10-07,8,0.2263
2018-10-14,8,0.0
2018-10-21,7,0.5499
2018-10-28,7,0.2792333333333333
2018-11-04,8,-0.4457
2018-11-11,10,-0.5574
2018-11-18,13,0.01682222222222221
2018-11-25,14,0.18327142857142856
2018-12-02,11,0.6383666666666666
2018-12-09,11,-0.005099999999999993
2018-12-16,11,-0.29730000000000006
2018-12-23,10,-0.5994
2018-12-30,8,-0.5859
2019-01-06,9,0.03133333333333333
2019-01-13,8,0.37200000000000005
2019-01-20,7,0.7184
2019-01-27,7,0.6486
2019-02-03,8,0.4391
2019-02-10,7,0.01294999999999999
2019-02-17,8,0.0
2019-02-24,7,0.6815
2019-03-03,7,-0.02930000000000002
2019-03-10,7,0.257775
2019-03-17,7,0.06502
2019-03-24,7,0.11009999999999999
2019-03-31,12,0.38117500000000004
2019-04-07,9,0.4767
2019-04-14,8,0.0
2019-04-21,9,0.7906
2019-04-28,8,0.3901833333333333
2019-05-05,11,0.36755
2019-05-12,18,0.09337999999999999
2019-05-19,13,0.20706666666666665
2019-05-26,14,-0.6369
2019-06-02,12,0.6705
2019-06-09,11,0.5759
2019-06-16,16,-0.6914
2019-06-23,25,0.433925
2019-06-30,16,0.059599999999999986
2019-07-07,16,0.4019
2019-07-14,16,0.07519
2019-07-21,13,0.15284999999999999
2019-07-28,12,0.05523333333333328
2019-08-04,14,-0.55455
2019-08-11,12,0.29205
2019-08-18,11,0.24835000000000002
2019-08-25,11,0.08594999999999997
2019-09-01,11,-0.06010000000000001
2019-09-08,9,0.2023
2019-09-15,9,0.2732
2019-09-22,12,-0.0516
2019-09-29,10,0.5859
2019-10-06,9,0.0
2019-10-13,9,0.0
2019-10-20,10,-0.065525
2019-10-27,10,0.188075
2019-11-03,9,0.4019
2019-11-10,8,0.2567
2019-11-17,9,0.1728333333333333
2019-11-24,10,0.3788666666666667
2019-12-01,8,0.06219999999999999
2019-12-08,8,-0.33085
2019-12-15,9,0.20353333333333334
2019-12-22,8,0.17746666666666666
2019-12-29,8,-0.3818
2020-01-05,10,0.6115
2020-01-12,10,0.2543666666666667
2020-01-19,9,-0.14049999999999999
2020-01-26,10,0.052525
2020-02-02,10,0.44778
2020-02-09,12,0.085
2020-02-16,11,0.2312
2020-02-23,11,0.242925
2020-03-01,10,-0.2872333333333333
2020-03-08,18,0.06119999999999998
2020-03-15,19,-0.51555
2020-03-22,14,0.0
2020-03-29,12,-0.3553333333333333
2020-04-05,13,0.3275666666666667
2020-04-12,12,0.34088
